,Title,Song Links,Artist,Streams,Date,Token,Loudness
0,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,DJ Snake,4418652,2018-10-03,4w8niZpiMy6qz1mntFA5uM,-4.206
1,Happier,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,Marshmello,4022614,2018-10-03,2dpaYNEQHiRxtZbfNsse99,-2.749
2,I Love It (& Lil Pump),https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,Kanye West,4007105,2018-10-03,4S8d14HvHb70ImctNgVzQQ,-8.304
3,Falling Down - Bonus Track,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,Lil Peep,3474634,2018-10-03,0Dn40gxVCMo5TkgS8Ik18Q,-6.442
4,Mona Lisa (feat. Kendrick Lamar),https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8,Lil Wayne,3034629,2018-10-03,0dbTQYW3Ad1FTzIA9t90E8,-4.393
5,Eastside (with Halsey & Khalid),https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,benny blanco,3034007,2018-10-03,0d2iYfpKoM0QCKvcLCkBao,-7.648
6,Promises (with Sam Smith),https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,Calvin Harris,3014501,2018-10-03,5N5k9nd479b1xpDZ4usjrg,-5.991
7,In My Mind,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,2832198,2018-10-03,0E9ZjEAyAwOXZ7wJC0PD33,-5.335
8,SICKO MODE,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,Travis Scott,2647289,2018-10-03,2xLMifQCjDGFmkHkpNLD9h,-3.714
9,In My Feelings,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,Drake,2632904,2018-10-03,2G7V7zsVDxg1yRsu7Ew9RJ,-5.833
10,Lucid Dreams,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,Juice WRLD,2488923,2018-10-03,0s3nnoMeVWz3989MkNQiRf,-7.23
11,Better,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J,Khalid,2383580,2018-10-03,4T3fNx3CgwDRRYgmFCbD4J,-10.332
12,Electricity (with Dua Lipa),https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,Silk City,2377393,2018-10-03,5N4erncE7kuUccm7zEmwzk,-6.439
13,Be Alright,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,Dean Lewis,2373511,2018-10-03,3EPXxR3ImUwfayaurPi3cm,-6.319
14,Lucky You (feat. Joyner Lucas),https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,Eminem,2281075,2018-10-03,60SdxE8apGAxMiRrpbmLY0,-4.884
15,SAD!,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,2237969,2018-10-03,3ee8Jmje8o58CHK66QrVC2,-4.88
16,Girls Like You (feat. Cardi B),https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,2229688,2018-10-03,7fa9MBXhVfQ8P8Df9OEbD8,-6.825
17,Moonlight,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,XXXTENTACION,2186857,2018-10-03,0JP9xo3adEtGSdUEISiszL,-5.723
18,Don't Cry (feat. XXXTENTACION),https://open.spotify.com/track/5BQrp63SHCVf4bzCzJePne,Lil Wayne,2173614,2018-10-03,5BQrp63SHCVf4bzCzJePne,-6.072
19,FEFE (feat. Nicki Minaj & Murda Beatz),https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB,6ix9ine,2061066,2018-10-03,2E124GmJRnBJuXbTb4cPUB,-9.127
20,BEBE,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C,6ix9ine,2034838,2018-10-03,7ATATJztoWLcqDAcVVof0C,-3.559
21,Vaina Loca,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,Ozuna,1994686,2018-10-03,48zFZh27QU5qsrBjn4C2FA,-4.249
22,Natural,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,1957617,2018-10-03,4zIO3ilp5HvTeK3HJHxhMP,-6.106
23,I Like It,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,Cardi B,1886840,2018-10-03,58q2HKrzhC3ozto2nDdN4z,-3.998
24,Taste (feat. Offset),https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,Tyga,1877554,2018-10-03,5IaHrVsrferBYDm0bDyABy,-7.442
25,Better Now,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,Post Malone,1846672,2018-10-03,7dt6x5M1jzdTEt8oCbisTK,-5.843
26,This Feeling (feat. Kelsea Ballerini),https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N,The Chainsmokers,1793212,2018-10-03,15kQGEy89K8deJcZVFEn0N,-7.906
27,Let It Fly (feat. Travis Scott),https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h,Lil Wayne,1697958,2018-10-03,0CBQ0m3mufWH75LTYB3s6h,-3.321
28,Beautiful (feat. Camila Cabello),https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,Bazzi,1692048,2018-10-03,4VUwkH455At9kENOfzTqmF,-4.722
29,Mo Bamba,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn,Sheck Wes,1677465,2018-10-03,3QybPutx0Tjk472bBKjNWn,-4.882
30,No Brainer,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8,DJ Khaled,1677460,2018-10-03,5WvAo7DNuPRmk4APhdPzi8,-4.706
31,Uproar,https://open.spotify.com/track/3wScL5W8H40zzCKN0atfBk,Lil Wayne,1671435,2018-10-03,3wScL5W8H40zzCKN0atfBk,-2.188
32,Youngblood,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,1648118,2018-10-03,2iUXsYOEPhVqEBwsqP70rE,-5.114
33,breathin,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,Ariana Grande,1642772,2018-10-03,4OafepJy2teCjYJbvFE60J,-5.413
34,Nonstop,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,Drake,1623897,2018-10-03,0TlLq3lA83rQOYtrqBqSct,-8.074
35,Wake Up in the Sky,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,Gucci Mane,1596737,2018-10-03,0QIjsbm2fh1cJ45XO9eGqq,-5.144
36,Killshot,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv,Eminem,1581472,2018-10-03,1jo3TwNGCXfNdB5uba3ZVv,-8.645
37,Solo (feat. Demi Lovato),https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,Clean Bandit,1577961,2018-10-03,6kPJZM97LwdG9QIsT7khp6,-4.546
38,Rise,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,1570835,2018-10-03,3u1S1OmAUhx5DRlLrXqyp3,-4.653
39,Thunderclouds,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi,Sia,1561636,2018-10-03,5a8RPWgKSmcGBGcffmIrUi,-5.985
