,Title,Artist,Streams,Date,Followers
0,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,603126,2018-10-04,8490133
1,You Say,Lauren Daigle,584245,2018-10-04,957789
2,My Jeans (Lil Ba,& Gunna feat. Young Thug),775468,2018-10-05,41
3,Off White VLONE (Lil Ba,& Gunna feat. Lil Durk & NAV),583819,2018-10-09,41
4,Drew Barrymore,Bryce Vine,649058,2018-10-11,216372
5,500 PS,Bonez MC,617206,2018-10-13,1086496
6,Self Care,Mac Miller,574405,2018-10-17,3542252
7,Madura (feat. Bad Bunny),Cosculluela,575827,2018-10-18,2663867
8,Blah Blah Blah,Armin van Buuren,576621,2018-10-20,3087429
9,seoul (prod. HONNE),RM,568099,2018-10-23,1392652
10,Get Dripped (feat. Playboi Carti),Lil Yachty,613310,2018-10-25,5437850
11,Cuando Nadie Ve,Morat,576677,2018-10-30,2272453
12,Zombie,The Cranberries,866065,2018-10-31,1766228
13,Disturbia,Rihanna,840675,2018-10-31,34231098
14,This Is Halloween,The Citizens of Halloween,830149,2018-10-31,5729
15,(Don't Fear) The Reaper,Blue Öyster Cult,815570,2018-10-31,733978
16,This Is Halloween,Marilyn Manson,793624,2018-10-31,2238562
17,A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince,618623,2018-10-31,177730
18,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,613049,2018-10-31,63128
19,Tanta Falta,Bryant Myers,600356,2018-10-31,2895635
20,Highway to Hell,AC/DC,681839,2018-11-01,12827618
21,"Ghostbusters - from the Original Motion Picture ""Ghostbusters""","Ray Parker, Jr.",608251,2018-11-01,33061
22,La player (Bandolera),Zion & Lennox,562643,2018-11-01,3781522
23,Party For One,Carly Rae Jepsen,727904,2018-11-02,3662056
24,O Bebê,MC Kevinho,590469,2018-11-03,6451635
25,Tempo,EXO,612379,2018-11-05,4683816
26,Last Memory,Takeoff,630023,2018-11-07,557321
27,Ba,(feat. MARINA & Luis Fonsi),656881,2018-11-08,0
28,WORKIN ME,Quavo,605458,2018-11-08,3296462
29,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,609466,2018-11-15,1498219
30,The Mantra (with Pharrell & Kendrick Lamar),Mike WiLL Made-It,872651,2018-11-16,907919
31,Rêves bizarres (feat. Damso),Orelsan,811230,2018-11-16,1099164
32,Tints (feat. Kendrick Lamar),Anderson .Paak,671633,2018-11-16,1192827
33,Guiding Light,Mumford & Sons,654030,2018-11-16,5349251
34,Walk It Talk It,Migos,524117,2018-11-18,9422834
35,Celoso,Lele Pons,626702,2018-11-24,294961
36,Clandestino,Shakira,609980,2018-11-24,17308354
37,POP/STARS,K/DA,607698,2018-11-26,226517
38,Trip,Ella Mai,579549,2018-11-26,2077831
39,REEL IT IN,Aminé,613624,2018-11-27,1037726
40,Vas A Quedarte,Aitana,767899,2018-11-30,667582
41,Hurts Like Hell (feat. Offset),Madison Beer,663388,2018-12-04,1334937
42,Waste It On Me (feat. BTS),Steve Aoki,733319,2018-12-06,3252266
43,Lonesome Train,Stan Kenton,970369,2018-12-09,13567
44,Toda - Remix,Alex Rose,697463,2018-12-10,920372
45,Scared of the Dark (feat. XXXTENTACION),Lil Wayne,792097,2018-12-14,8328932
46,Christmas Time,Bryan Adams,1430908,2018-12-24,1306638
47,Wonderful Dream (Holidays Are Coming) - Radio Version,Melanie Thornton,1376866,2018-12-24,4513
48,Please Come Home For Christmas - Bonus Track,Eagles,1029818,2018-12-24,3813640
49,Do They Know It's Christmas? - 2014,Band Aid 30,1019409,2018-12-24,2443
50,Christmas All Over Again,Tom Petty and the Heartbreakers,985942,2018-12-24,1126302
51,Run Rudolph Run - Single Version,Chuck Berry,2646397,2018-12-25,963313
52,Winter Wonderland,Tony Bennett,2311203,2018-12-25,456712
53,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,2122579,2018-12-25,2548383
54,What Christmas Means To Me,Stevie Wonder,2016256,2018-12-25,3783703
55,Santa Ba,(with Henri René & His Orchestra),2004767,2018-12-25,0
56,One More Sleep,Leona Lewis,1832725,2018-12-25,1943270
57,I'll Be Home,Meghan Trainor,1804765,2018-12-25,7998400
58,Carol of the Bells,Mykola Dmytrovych Leontovych,1789259,2018-12-25,1186
59,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,1730843,2018-12-25,3340961
60,Little Saint Nick - 1991 Remix,The Beach Boys,1591034,2018-12-25,2169747
61,"Merry Christmas, Happy Holidays",*NSYNC,1541849,2018-12-25,1083537
62,I Saw Mommy Kissing Santa Claus,The Jackson 5,1537667,2018-12-25,828284
63,Hallelujah,Pentatonix,1436269,2018-12-25,2365035
64,"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording",Judy Garland,1424129,2018-12-25,111569
65,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,1376482,2018-12-25,23693
66,This Christmas,Donny Hathaway,1280992,2018-12-25,278140
67,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",Thurl Ravenscroft,1156412,2018-12-25,1960
68,Ba,It's Cold Outside (duet with Michael Bublé),1154753,2018-12-25,0
69,This Christmas,Christina Aguilera,1147675,2018-12-25,4558635
70,"Oh Holy Night - Recorded at Metropolis Studios, London",Nina Nesbitt,1145635,2018-12-25,200986
71,Man With The Bag,Jessie J,1129723,2018-12-25,6597698
72,Mary's Boy Child / Oh My Lord,Boney M.,1110546,2018-12-25,522024
73,Shake up Christmas,Train,1094741,2018-12-25,2976165
74,Christmas Time Is Here - Recorded at Sound Emporium Nashville,Devin Dawson,1086277,2018-12-25,104898
75,Happy Xmas (War Is Over),Céline Dion,1075660,2018-12-25,2859388
76,Merry Xmas Everybody,Slade,1068722,2018-12-25,122215
77,Christmas Time,Backstreet Boys,1063324,2018-12-25,2623198
78,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,1054872,2018-12-25,67522
79,Sleigh Ride,Johnny Mathis,1051530,2018-12-25,173189
80,Frosty The Snowman,Ella Fitzgerald,989546,2018-12-25,1422545
81,2000 Miles - 2007 Remaster,Pretenders,905004,2018-12-25,587874
82,Silent Night,Carpenters,871756,2018-12-25,1038627
83,8 Days of Christmas - Live,Destiny's Child,868504,2018-12-25,3501743
84,The Man With The Bag,Kay Starr,859869,2018-12-25,22116
85,Stop the Cavalry - Radio Edit,Jona Lewie,841893,2018-12-25,4678
86,Rockin' Around The Christmas Tree,Mel & Kim,815389,2018-12-25,23
87,All I Want For Christmas (Is My Two Front Teeth) - Remastered,Nat King Cole Trio,811652,2018-12-25,77299
88,I Wish It Could Be Christmas Everyday,Wizzard,809924,2018-12-25,17197
89,Winter Wonderland,Hannah Kerr,777725,2018-12-25,21179
90,Jingle Bell Rock,Bob,1278547,2018-12-26,7289494
91,It's the Most Wonderful Time of the Year,Andy Williams,1257502,2018-12-26,223377
92,Rockin' Around The Christmas Tree,Brenda Lee,1245827,2018-12-26,134205
93,Do They Know It's Christmas? - 1984 Version,Band Aid,1241830,2018-12-26,14460
94,Happy Xmas (War Is Over) - Remastered,John Lennon,1177643,2018-12-26,2807910
95,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,1174645,2018-12-26,2472987
96,Mistletoe,Justin Bieber,1044115,2018-12-26,30446614
97,Driving Home for Christmas,Chris Rea,973119,2018-12-26,322057
98,Feliz Navidad,José Feliciano,932331,2018-12-26,149415
99,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,898606,2018-12-26,3251416
100,Underneath the Tree,Kelly Clarkson,879042,2018-12-26,5574857
101,White Christmas,Bing Cros,871942,2018-12-26,0
102,The Christmas Song (Merry Christmas To You),Nat King Cole,840611,2018-12-26,1117641
103,A Holly Jolly Christmas - Single Version,Burl Ives,756773,2018-12-26,30533
104,Sleigh Ride,The Ronettes,746791,2018-12-26,117289
105,Merry Christmas Everyone - Remastered,Shakin' Stevens,723839,2018-12-26,68480
106,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,715241,2018-12-26,954763
107,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,714227,2018-12-26,740960
108,Santa Claus Is Coming to Town,Michael Bublé,697449,2018-12-26,3345507
109,Christmas Lights,Coldplay,673389,2018-12-26,22251411
110,Fairytale of New York (feat. Kirsty MacColl),The Pogues,671816,2018-12-26,266769
111,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,669089,2018-12-26,191029
