,Title,Artist,Streams,Date
0,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4345445,2018-10-02
1,I Love It (& Lil Pump),Kanye West,4066184,2018-10-02
2,Happier,Marshmello,3939751,2018-10-02
3,Falling Down - Bonus Track,Lil Peep,3531142,2018-10-02
4,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,3278623,2018-10-02
5,Eastside (with Halsey & Khalid),benny blanco,3017808,2018-10-02
6,Promises (with Sam Smith),Calvin Harris,3002492,2018-10-02
7,In My Mind,Dynoro,2838533,2018-10-02
8,In My Feelings,Drake,2645287,2018-10-02
9,SICKO MODE,Travis Scott,2614388,2018-10-02
10,Lucid Dreams,Juice WRLD,2474615,2018-10-02
11,Don't Cry (feat. XXXTENTACION),Lil Wayne,2422470,2018-10-02
12,Better,Khalid,2384132,2018-10-02
13,Be Alright,Dean Lewis,2368432,2018-10-02
14,Lucky You (feat. Joyner Lucas),Eminem,2320231,2018-10-02
15,Electricity (with Dua Lipa),Silk City,2262762,2018-10-02
16,Girls Like You (feat. Cardi B),Maroon 5,2223025,2018-10-02
17,SAD!,XXXTENTACION,2215075,2018-10-02
18,Moonlight,XXXTENTACION,2098189,2018-10-02
19,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2087136,2018-10-02
20,BEBE,6ix9ine,2025045,2018-10-02
21,Vaina Loca,Ozuna,1968345,2018-10-02
22,Natural,Imagine Dragons,1935637,2018-10-02
23,Let It Fly (feat. Travis Scott),Lil Wayne,1906686,2018-10-02
24,I Like It,Cardi B,1865617,2018-10-02
25,Taste (feat. Offset),Tyga,1857327,2018-10-02
26,Uproar,Lil Wayne,1831886,2018-10-02
27,Better Now,Post Malone,1813775,2018-10-02
28,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,1726001,2018-10-02
29,What About Me (feat. Sosamann),Lil Wayne,1681599,2018-10-02
30,Mo Bamba,Sheck Wes,1667624,2018-10-02
31,breathin,Ariana Grande,1665467,2018-10-02
32,No Brainer,DJ Khaled,1662746,2018-10-02
33,Beautiful (feat. Camila Cabello),Bazzi,1646376,2018-10-02
34,Youngblood,5 Seconds of Summer,1622693,2018-10-02
35,Killshot,Eminem,1611025,2018-10-02
36,Nonstop,Drake,1587169,2018-10-02
37,Rise,Jonas Blue,1579601,2018-10-02
38,Wake Up in the Sky,Gucci Mane,1571550,2018-10-02
39,Solo (feat. Demi Lovato),Clean Bandit,1565291,2018-10-02
40,Dedicate,Lil Wayne,1540777,2018-10-02
41,Te Boté - Remix,Nio Garcia,1535638,2018-10-02
42,Thunderclouds,Sia,1530691,2018-10-02
43,God is a woman,Ariana Grande,1522916,2018-10-02
