,Title,Artist,Streams,Date,Token,Duration,Loudness,Speechiness,Energy,Tempo,Valence,Instrumentalness,Modality
0,Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,877954,2018-10-03,00mrTzjxIRuWJY01sRBJmO,242972,-5.384,0.297,0.457,73.724,0.458,0.0,1
1,Problems,Lil Wayne,634879,2018-10-03,0ubdf6zWT1It2saK41SkO0,208504,-6.937,0.312,0.571,139.996,0.0993,0.0,1
2,Let It All Work Out,Lil Wayne,620401,2018-10-03,3BUWNzPWz2mDbptZmGEXpB,316192,-6.862,0.164,0.562,135.014,0.439,0.0,1
3,Hittas,Lil Wayne,595723,2018-10-03,5s6pKnF3ZPtuqvEx1i1V7U,223617,-3.93,0.439,0.765,144.046,0.667,0.0,1
4,Open Safe,Lil Wayne,594148,2018-10-03,7EgI0dCaQuHFe3OTj5EpWI,223939,-5.373,0.156,0.598,96.012,0.501,0.0,1
5,Took His Time,Lil Wayne,570711,2018-10-03,1Dk3CfJEtqvj7Xg2AWwfEn,262400,-3.417,0.213,0.703,149.988,0.641,0.0,0
6,Mo Bamba,Sheck Wes,1745497,2018-10-04,3QybPutx0Tjk472bBKjNWn,180898,-4.882,0.0495,0.629,146.067,0.319,0.00114,0
7,Drip Too Hard,Lil Ba,1644842,2018-10-04,1BxkZE73h9BN3qwuA15TA3,145603,-6.962,0.289,0.653,112.503,0.399,0.0,0
8,Shallow,Lady Gaga,1100326,2018-10-04,5lK18Pt33xNudq4qYDxIm8,215733,-6.341,0.0297,0.401,95.796,0.296,0.0,1
9,Dope Niggaz (feat. Snoop Dogg),Lil Wayne,705046,2018-10-04,2AwyHlbA6f641SEkizD5JG,205983,-5.053,0.28,0.708,84.974,0.645,0.0,1
10,Open Letter,Lil Wayne,640708,2018-10-04,2DnH4XlEkghUdE8ymdVom5,269287,-6.299,0.359,0.55,97.01,0.36,0.0,0
11,RAP DEVIL,Machine Gun Kelly,632512,2018-10-04,43TP6JCWXgkc2D7Xjz5hBr,281587,-4.662,0.274,0.835,75.052,0.767,3.72e-06,1
12,Greatest,Eminem,605819,2018-10-04,2XTquzYQAdT1Hk78bOUwsv,226938,-5.186,0.108,0.737,80.025,0.367,0.0,1
13,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,603126,2018-10-04,7IBSffWIu7P2MC7kMwy2FM,226743,-7.379,0.0587,0.477,127.023,0.552,0.0,0
14,You Say,Lauren Daigle,584245,2018-10-04,3ngc7rGlfeFaskU90EWl4R,274693,-6.381,0.0333,0.637,147.924,0.1,0.0,1
15,Belly (Lil Ba,& Gunna),1059863,2018-10-05,1yQvL8SzbF5JCroRKk9F07,191724,-5.343,0.0705,0.692,120.028,0.426,0.0,1
16,Deep End (Lil Ba,& Gunna),948736,2018-10-05,16QjPRt5HYK0dnLGmGRCvf,174662,-8.197,0.515,0.535,150.055,0.395,0.0,1
17,World Is Yours (Lil Ba,& Gunna),903590,2018-10-05,0p0jvYdazuWBMC8QacxpUH,157199,-7.148,0.543,0.557,109.867,0.575,0.0,1
18,I Am (Lil Ba,& Gunna),861888,2018-10-05,3F57PtOdqRpD6euFYqtKXX,145060,-6.506,0.449,0.461,130.003,0.268,0.0,1
19,Underdog (Lil Ba,& Gunna),858217,2018-10-05,2Am26UXisQ91vBLYdqd7Pa,211853,-4.764,0.16,0.735,144.985,0.497,0.0,0
20,Ja Mann!,Bonez MC,827630,2018-10-05,4XHP5B63UsW0GniEx7oMHu,188435,-7.645,0.364,0.749,101.95,0.386,0.000118,1
21,Prominent,Bonez MC,816231,2018-10-05,4JxvECbZ3Oes1eUrmhQNSH,158555,-7.71,0.234,0.557,93.996,0.414,0.0,0
22,Leave The City,Twenty One Pilots,804008,2018-10-05,5HCXMBxZIVaVLXpyoqPM3g,280493,-11.64,0.0334,0.379,134.985,0.299,0.00458,0
23,Kompanie,Bonez MC,801843,2018-10-05,6Cy4jkukjKnIqGYkU7xCeF,159127,-7.031,0.189,0.65,109.88,0.352,1.97e-05,1
24,My Jeans (Lil Ba,& Gunna feat. Young Thug),775468,2018-10-05,4T7cJdrTRqOBESPYfvfj2x,196448,-5.869,0.186,0.715,100.576,0.382,0.0,1
25,Von ihnen gelernt,Bonez MC,721882,2018-10-05,3uMpllxUKlpuXHczoHJ0U5,232124,-6.445,0.0417,0.7,115.948,0.237,0.000284,0
26,Trust My Lonely,Alessia Cara,719621,2018-10-05,0qbfdprRS71e9up5pOmbQo,199707,-6.025,0.156,0.662,150.305,0.636,1.96e-06,1
27,"If I'm Lyin, I'm Flyin",Kodak Black,713543,2018-10-05,2uMTscYuCT3BZ0OCzH3MwN,130929,-5.558,0.242,0.617,176.108,0.289,3.62e-06,0
28,Famous (feat. Reginae Carter),Lil Wayne,692751,2018-10-05,05r1GGg1Rhs0RcUg27C82a,242050,-5.664,0.143,0.568,149.857,0.115,0.0,1
29,Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,691514,2018-10-05,5IvdLxVB8gwwcgnEkXSSW2,242972,-5.384,0.297,0.457,73.724,0.458,0.0,1
30,Business Is Business (Lil Ba,& Gunna),665767,2018-10-06,7roKDmJDOzkpfGpUQJ5EnL,162268,-6.038,0.0899,0.636,142.008,0.4,0.0,0
31,Por Perro,Sebastian Yatra,515732,2018-10-07,2alIsNw1mqEShbWyO1HXZZ,245440,-5.18,0.0501,0.762,172.009,0.892,0.0,1
32,Pet Cheetah,Twenty One Pilots,613134,2018-10-08,7daBwTiPNOVgoMUG4SICgh,198360,-7.052,0.199,0.684,110.049,0.355,0.000387,0
33,Nummer unterdrückt,Bonez MC,581256,2018-10-08,2SRVj6ceeIffVEm9NFyRHI,208795,-6.296,0.0881,0.749,139.962,0.773,0.00124,1
34,Legend,Twenty One Pilots,560752,2018-10-08,1CDVadnneswMxi6gBqJTtC,172560,-6.209,0.0368,0.575,85.937,0.797,0.000257,1
35,Born To Be Yours,Kygo,842791,2018-10-09,0kHyKhJMukHEPfeh8s7rdM,193321,-5.84,0.0357,0.688,114.011,0.451,0.0,1
36,The Hype,Twenty One Pilots,638782,2018-10-09,7I3skNaQdvZSS7zXY2VHId,265373,-6.149,0.0503,0.816,87.019,0.371,0.00061,1
37,Levitate,Twenty One Pilots,610530,2018-10-09,2uBhGx3m5iJrtsql8Qk00j,145947,-5.941,0.17,0.934,92.973,0.224,0.226,0
